Asset;Ticker;Tipo_Operacao;Data_Abertura;Data_Fechamento;Quantidade_Abertura;Preco_Abertura;Quantidade_Fechamento;Preco_Fechamento;Tipo_Fechamento;PL_Realizado;Valor_Abertura;Valor_Fechamento;Dias_Posicao;Retorno_Percent
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;1000;1,27;0;;;0,00;1266,41;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;100;1,22;0;;;0,00;121,65;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;100;1,22;0;;;0,00;121,65;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;100;1,23;0;;;0,00;122,65;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;1000;1,23;0;;;0,00;1226,52;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;2000;1,06;0;;;0,00;2116,20;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;2000;1,06;0;;;0,00;2116,20;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;1000;1,06;0;;;0,00;1058,10;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;400;1,05;0;;;0,00;419,25;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;400;1,06;0;;;0,00;423,24;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;2000;1,06;0;;;0,00;2116,20;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;2000;1,06;0;;;0,00;2116,20;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;1200;1,06;0;;;0,00;1269,72;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;800;1,06;0;;;0,00;846,48;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;1200;1,06;0;;;0,00;1269,72;;;
PETRG312;PETRG312;ABERTURA_SHORT;09/06/2025;;2000;1,06;0;;;0,00;2116,20;;;
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;600;1,47;600;3,78;TOTAL;-1385,41;879,72;2265,13;14;-157,48%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;700;1,44;700;3,78;TOTAL;-1637,27;1005,39;2642,66;14;-162,85%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;300;1,44;300;3,78;TOTAL;-701,69;430,88;1132,57;14;-162,85%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;500;1,46;500;3,78;TOTAL;-1159,50;728,11;1887,61;14;-159,25%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;100;1,47;100;3,78;TOTAL;-230,90;146,62;377,52;14;-157,48%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;400;1,47;400;3,78;TOTAL;-923,61;586,48;1510,09;14;-157,48%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,48;1000;3,78;TOTAL;-2299,05;1476,17;3775,22;14;-155,74%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;200;1,54;200;3,78;TOTAL;-447,84;307,20;755,04;14;-145,78%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,62;1000;3,78;TOTAL;-2159,42;1615,80;3775,22;14;-133,64%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,64;1000;3,78;TOTAL;-2139,47;1635,75;3775,22;14;-130,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;400;1,46;400;3,78;TOTAL;-927,60;582,49;1510,09;14;-159,25%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;400;1,47;400;3,78;TOTAL;-923,61;586,48;1510,09;14;-157,48%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,47;1000;3,78;TOTAL;-2309,03;1466,19;3775,22;14;-157,49%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,46;1000;3,78;TOTAL;-2319,00;1456,22;3775,22;14;-159,25%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;1000;1,46;1000;3,78;TOTAL;-2319,00;1456,22;3775,22;14;-159,25%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;100;1,54;100;3,78;TOTAL;-223,92;153,60;377,52;14;-145,78%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;100;1,46;100;3,78;TOTAL;-231,90;145,62;377,52;14;-159,25%
PETRG312;PETRG312;FECHAMENTO_SHORT;03/06/2025;17/06/2025;200;1,54;200;3,78;TOTAL;-447,84;307,20;755,04;14;-145,78%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;600;1,22;600;3,78;TOTAL;-1535,20;729,93;2265,13;11;-210,32%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1000;1,27;1000;3,78;TOTAL;-2508,81;1266,41;3775,22;11;-198,10%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;100;1,22;100;3,78;TOTAL;-255,87;121,65;377,52;11;-210,33%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;100;1,22;100;3,78;TOTAL;-255,87;121,65;377,52;11;-210,33%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;100;1,23;100;3,78;TOTAL;-254,87;122,65;377,52;11;-207,80%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1000;1,23;1000;3,78;TOTAL;-2548,70;1226,52;3775,22;11;-207,80%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;2000;1,06;1500;3,78;PARCIAL;-4075,68;2116,20;5662,83;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;500;1,06;500;3,78;TOTAL;-1358,56;529,05;1887,61;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;2000;1,06;2000;3,78;TOTAL;-5434,25;2116,20;7550,45;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;1000;1,06;1000;3,78;TOTAL;-2717,12;1058,10;3775,22;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;400;1,05;400;3,78;TOTAL;-1090,84;419,25;1510,09;8;-260,19%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;400;1,06;400;3,78;TOTAL;-1086,85;423,24;1510,09;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;2000;1,06;2000;3,78;TOTAL;-5434,25;2116,20;7550,45;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;2000;1,06;2000;3,78;TOTAL;-5434,25;2116,20;7550,45;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;1200;1,06;1200;3,78;TOTAL;-3260,55;1269,72;4530,27;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;800;1,06;800;3,78;TOTAL;-2173,70;846,48;3020,18;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;1200;1,06;1200;3,78;TOTAL;-3260,55;1269,72;4530,27;8;-256,79%
PETRG312;PETRG312;FECHAMENTO_SHORT;09/06/2025;17/06/2025;2000;1,06;2000;3,78;TOTAL;-5434,25;2116,20;7550,45;8;-256,79%
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;500;29,88;0;;;0,00;14940,11;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1100;30,13;0;;;0,00;33143,35;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1200;30,16;0;;;0,00;36192,39;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;900;29,85;0;;;0,00;26865,20;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;300;29,87;0;;;0,00;8961,07;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,92;0;;;0,00;2992,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1300;29,87;0;;;0,00;38831,29;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,87;0;;;0,00;2987,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;29,88;0;;;0,00;2988,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1300;29,91;0;;;0,00;38883,31;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;30,01;0;;;0,00;6002,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,87;0;;;0,00;2987,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,87;0;;;0,00;2987,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;500;29,88;0;;;0,00;14940,11;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1200;29,89;0;;;0,00;35868,28;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;700;29,89;0;;;0,00;20923,16;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;300;29,89;0;;;0,00;8967,07;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;30,01;0;;;0,00;3001,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,85;0;;;0,00;2985,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;29,87;0;;;0,00;5974,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,88;0;;;0,00;2988,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1200;29,89;0;;;0,00;35868,28;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;500;29,89;0;;;0,00;14945,12;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;300;29,89;0;;;0,00;8967,07;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
